idx,avg
1,-2.144377565
2,-2.089166234
3,-1.98766445
4,-2.454554181
5,-2.485217981
6,-2.460255017
7,-2.201770719
8,-2.425831327
9,-2.165644629
10,-2.466584737
11,-2.46364449
12,-2.0687985
13,-2.077635057
14,-2.246053219
15,-2.20532054
16,-2.213499771
17,-2.477473498
18,-2.113940264
19,-2.219432555
20,-2.144975257
21,-2.452204221
22,-2.612728433
23,-2.156331249
24,-2.148096765
25,-2.451613107
26,-2.411756194
27,-2.184542541
28,-2.444107201
29,-2.134541169
30,-2.400765348
31,-2.176261124
32,-2.469026852
33,-2.461239106
34,-2.114123674
35,-2.161564159
36,-2.118650197
37,-2.126076264
38,-2.109700646
39,-2.177979697
40,-2.116971895
41,-2.450661794
42,-2.302090247
43,-2.195789249
44,-2.257328377
45,-2.172973142
46,-2.460452423
47,-2.120902465
48,-2.236606426
49,-2.42700756
50,-2.190332046
51,-2.474324303
52,-2.498670136
53,-2.44727376
54,-2.476990068
55,-2.47479873
56,-2.262360582
57,-2.491004173
58,-2.184576709
59,-2.139254351
60,-2.181706853
61,-2.261279664
62,-2.17744396
63,-2.150057625
64,-2.321846659
65,-2.525140701
66,-2.165210102
67,-2.491337641
68,-2.498247039
69,-2.207663162
70,-2.114215603
71,-2.465574826
72,-2.444428546
73,-1.993455923
74,-2.125444642
75,-2.405435831
76,-2.201903588
77,-2.095107647
78,-2.452463798
79,-2.434073346
80,-2.163132718
81,-2.101062357
82,-2.00718914
83,-2.157846173
84,-2.439421776
85,-2.133178424
86,-2.06109406
87,-2.397533534
88,-2.136556955
89,-2.209914016
90,-2.198794299
91,-2.035212242
92,-1.970909911
93,-2.120262057
94,-2.2357807
95,-2.471132608
96,-2.14682505
97,-2.150694124
98,-2.475198823
99,-2.471068796
100,-2.436461886
101,-2.494976476
102,-2.482239296
103,-2.400323763
104,-2.114655915
105,-2.525423374
106,-2.22307727
107,-2.426418366
108,-2.183381471
109,-2.416104075
110,-2.208251507
111,-2.519074418
112,-2.232945655
113,-2.197473043
114,-2.121255105
115,-2.424588773
116,-2.260451634
117,-2.204833616
118,-2.175843479
119,-2.198826992
120,-2.526467683
121,-2.459702813
122,-2.134502975
123,-2.189567764
124,-2.482322606
125,-2.219936382
126,-2.163311244
127,-2.469959712
128,-2.439346839
129,-2.010283239
130,-2.154808625
131,-2.18095758
132,-2.453553917
133,-2.223234985
134,-2.44110757
135,-2.094255682
136,-2.468923695
137,-2.24359782
138,-2.145216719
139,-2.128436431
140,-2.06898149
141,-2.068214706
142,-2.093767785
143,-2.427540167
144,-2.274472236
145,-2.098150548
146,-2.192960451
147,-2.453091978
148,-2.455657871
149,-2.120585259
150,-2.439733346
151,-2.175238264
152,-2.180995304
153,-2.160795993
154,-2.496328065
155,-2.485446581
156,-2.320981681
157,-2.241474304
158,-2.169654345
159,-2.240296141
160,-2.462353236
161,-2.167517418
162,-2.455412765
163,-2.132469641
164,-2.438641811
165,-2.15732548
166,-2.467381561
167,-2.49790956
168,-2.532476649
169,-2.469114526
170,-2.199639696
171,-2.500044635
172,-2.249607083
173,-2.227420535
174,-2.135617862
175,-2.150541516
176,-2.301524698
177,-2.53640568
178,-2.428006202
179,-2.501345704
180,-2.296599714
181,-2.202502347
182,-2.464321628
183,-2.469626675
184,-2.401761153
185,-2.160577735
186,-2.426181585
187,-2.20000733
188,-2.467641
189,-2.504903936
190,-2.431048004
191,-2.291613633
192,-2.203793748
193,-2.281830838
194,-2.094558993
195,-2.301729495
196,-2.482559552
197,-2.274406306
198,-2.19145734
199,-2.207605154
200,-2.277132383
201,-2.071165114
202,-2.124843595
203,-2.090922225
204,-2.278133948
