index,DFT,TinNet
134,-2.2911415,-2.2894642
361,-2.4526095,-2.453787
72,-2.3042016,-2.3064485
462,-2.0269837,-2.0515625
315,-2.4157195,-2.419553
535,-3.6313636,-3.5446997
714,-4.2167826,-4.129473
672,-1.8210256,-1.822387
385,-2.6466846,-2.689654
184,-3.2824867,-3.2875242
297,-3.0891607,-3.1945324
555,-1.7560196,-1.7885412
528,-1.6733127,-1.7359728
718,-3.3868546,-3.390827
350,-3.6037025,-3.5271482
551,-1.8773576,-1.8418031
178,-2.5673847,-2.595493
710,-4.3916097,-4.341493
221,-1.4293187,-1.380832
676,-1.7968947,-1.7949964
448,-4.3516827,-4.3185253
470,-2.0153055,-1.9742906
584,-1.9532026,-1.937571
598,-2.8967936,-2.8859694
211,-1.9486216,-1.9739374
111,-3.7527776,-3.698037
110,-2.3053536,-2.2996945
144,-2.3788116,-2.4131448
729,-1.8168917,-1.8568311
300,-1.8562917,-1.88205
576,-3.5311096,-3.4942164
46,-2.1386437,-2.1016543
428,-3.1246476,-3.1499643
93,-2.1513305,-2.133851
14,-1.8796567,-1.9261439
99,-3.3367035,-3.3100896
685,-4.0418057,-4.0461063
43,-2.4267125,-2.4385781
465,-3.6570377,-3.616835
562,-2.2836576,-2.3051667
155,-4.1437187,-4.1481047
138,-2.9506786,-2.932347
495,-4.6648273,-4.617381
732,-2.7769816,-2.8003063
301,-2.3203416,-2.3180084
595,-3.2303827,-3.19706
31,-2.2468956,-2.3140283
401,-3.1451547,-3.1034775
731,-2.4183056,-2.4029481
68,-1.9457486,-1.9558557
619,-2.4118106,-2.4277494
453,-3.9142816,-3.8418317
736,-4.516822,-4.4613824
11,-1.9235486,-1.9094559
259,-3.0121915,-3.0195947
360,-3.3220267,-3.2469027
498,-4.5472775,-4.509543
463,-1.9801877,-2.05009
115,-1.3020276,-1.3077604
83,-3.6519327,-3.6213593
563,-2.0542006,-2.0664213
687,-2.6269627,-2.638351
262,-2.0359066,-2.0426502
224,-2.3182006,-2.3800323
373,-3.9505286,-3.869483
333,-1.8615357,-1.8505714
378,-3.0024426,-2.9752848
24,-3.8071637,-3.747283
633,-2.3760138,-2.390862
326,-4.5941896,-4.5512834
412,-2.0286126,-2.004696
483,-2.4693956,-2.4976487
655,-2.8054507,-2.8401105
