Alloys,Structure,delta,del_H,del_S,Tm,omega
CoCrFeNiAl,BCC,5.25,-12.32,13.38,1675.1,1.83
CoCrFeNiCuAl2.3,BCC,5.84,-9.38,14.35,1499.6,2.29
CoCrFeNiCuAl2.5,BCC,5.91,-9.78,14.21,1484.5,2.15
CoCrFeNiCuAl2.8,BCC,5.99,-10.28,14.01,1463.31,1.99
CoCrFeNiCuAl3,BCC,6.09,-10.56,13.86,1450.06,1.9
CoCrNiCu0.5Al,BCC,5.74,-10.17,13.15,1609.67,2.08
CoCrFeNiCu0.5Al,BCC,5.02,-7.93,14.7,1646.27,3.05
Al20Ti80Co80Cr80Fe80Ni80Cu80V80Mn80,BCC,6.01,-15.44,17.99,1633.5,1.91
CoCrFeNiCu0.25Al,BCC,5.13,-9.94,14.34,1660,2.39
CoCrFeNiAl1.25,BCC,5.55,-13.42,13.34,1639.79,1.62
CoCrFeNiAl1.5,BCC,5.77,-14.28,13.25,1607.68,1.5
CoCrFeNiAl2,BCC,6.04,-15.44,12.98,1551.5,1.3
CoCrFeNiAl2.5,BCC,6.19,-16.09,12.63,1503.96,1.17
CoCrFeNiAl3,BCC,6.26,-16.41,12.26,1463.21,1.1
MnCrFe1.5Ni0.5Al0.3,BCC,3.32,-5.51,12.31,1747.34,3.9
MnCrFe1.5Ni0.5Al0.5,BCC,4.03,-6.77,12.67,1711.17,3.2
W27.3Nb22.7Mo25.6Ta24.4,BCC,2.27,-6.49,11.5,3177.6,5.62
W21.1Nb20.6Mo21.7Ta15.6V21,BCC,3.18,-4.54,13.33,2950.49,8.67
TiCoNiCuAlZn,BCC,6.43,-17.89,14.9,1680.12,1.39
CoCrFeNiCu,FCC,1.07,3.2,13.38,1760,7.36
CoCrFeNiCuAl0.3,FCC,3.15,1.56,14.43,1713.22,15.85
CoCrFeNiCuAl0.5,FCC,3.82,-1.52,14.7,1684.86,16.29
CoCrFeNiMn,FCC,0.92,-4.16,13.38,1792.4,5.77
CoCrFeNiMnCu,FCC,0.99,1.44,14.9,1720,17.8
CoCrFeNiCu0.5,FCC,1.06,0.49,13.15,1804.67,48.44
CuNi,FCC,1.63,4,5.76,1543,2.22
Ti0.5CoCrFeNiCu,FCC,4.46,-3.7,14.7,1776.91,7.05
Ti0.5CoCrFeNiCu0.75Al0.25,FCC,5.03,-7.28,15.55,1757.61,3.76
CoFeNiCuV,FCC,2.63,-1.78,14.9,1833.67,15.35
CoCrFeNiCu0.75Al0.25,FCC,3,-0.71,14.32,1738.78,35.07
CoCrFeNiCu0.5Al0.5,FCC,4,-4.6,14.54,1717.55,5.43
CoCrFeNi,FCC,1.06,-3.75,11.53,1860.5,5.71
CoCrFeNiAl0.25,FCC,3.25,-6.75,12.71,1805.97,3.4
CoCrFeNiAl0.375,FCC,3.8,-7.99,12.97,1781.04,2.89
MoCrFeNiCu,FCC,2.92,4.64,13.38,1985,5.72
Ti0.5Co1.5CrFeNi1.5,FCC,4.6,-10.74,12.86,1848,2.22
Ti0.5Co1.5CrFeNi1.5Mo0.1,FCC,4.72,-10.64,13.38,1866.7,2.35
CoCrFeNiCuAl0.5V0.2,FCC,3.87,-2.5,15.44,1703.01,10.52
Mn2CrFeNi2Cu,FCC,0.99,0.44,12.98,1713,50.53
Mn2Cr2Fe2Ni2Cu,FCC,0.91,0.1,13.14,1749.11,229.83
MnCrFe2Ni2Cu2,FCC,0.95,3.88,12.97,1680.88,5.61
Ti0.1CoCrFeNiAl0.3,FCC,4.06,-8.93,13.47,1799.24,2.72
CoCrFeNiMo0.3,FCC,2.92,-4.15,12.83,1932.67,5.97
CoCrFeNiAl0.3Mo0.1,FCC,3.74,-7.26,13.44,1820.81,3.37
ZrHfTiCuFe,cp,9.84,-15.84,13.38,1949.4,1.64
ZrHfTiCuCo,cp,10.21,-23.52,13.38,1941.2,1.11
Ti2CoCrFeNiCu,cp,6.69,-14.04,14.53,1813.14,1.87
AlTiVYZr,cp,10.35,-14.88,13.38,1802.1,1.62
ZrTiVCuNiBe,cp,11.09,-24.89,14.9,1820.67,1.09
CrFeNiCuZr,cp,9.91,-14.4,13.38,1831.6,1.7
CoCrFeNiCuAl0.5B0.2,cp,5.77,-4,15.44,1708.73,6.6
CoCrFeNiCuAl0.5B0.6,cp,8.07,-8.01,15.92,1751.76,3.48
CoCrNiCuAlAu,cp,6.14,-6.45,14.9,1543.42,3.57
AlCrMoSiTi,cp,4.91,-34.08,13.38,1918.9,0.75
TiCoCrNiCuAlY0.5,cp,7.53,-18.32,16,1935.38,1.68
TiCoCrNiCuAlY0.8,cp,12.73,-19,16.16,1929.45,1.64
Zr57Ti5Al10Cu20Ni8,am,9.69,-31.5,10.18,1813.45,0.59
Zr38.5Ti16.5Cu15.25Ni9.75Be20,am,13.36,-33.2,12.47,1828.35,0.69
Zr39.88Ti15.12Cu13.77Ni9.98Be21.25,am,13.59,-34.27,12.34,1834.26,0.66
