element,Li,Be,Na,Mg,Al,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Cs,Ba,La,Hf,Ta,W,Re,Os,Ir,Pt,Au,Tl,Pb,Bi
Li,NA,-5,4,0,-4,11,-1,12,34,37,35,19,26,8,1,-5,-7,-9,-34.5,13,0,8,27,51,49,8,5,-14,-40,-16,-13,-12,-18,-1,16,0,6,30,48,50,29,11,-9,-33,-37,-15,-21,-23
Be,NA,NA,18,-3,0,27,-14,-36,-30,-16,-7,-10,-4,-4,-4,0,4,5,-3.5,28,-10,-32,-43,-25,-7,-3,-3,-6,-8,6,11,16,15,18,29,-10,-29,-37,-24,-3,0,-2,-5,-10,0,23,25,26
Na,NA,NA,NA,10,13,1,1,34,68,73,71,49,62,41,32,16,6,5,-21.5,2,-2,28,59,93,93,47,44,19,-15,0,-3,-5,-8,-20,3,-3,24,63,89,97,73,52,28,-1,-14,-11,-18,-20
Mg,NA,NA,NA,NA,-2,20,-6,-3,16,23,24,10,18,3,-4,-3,-4,-4,-26.5,23,-4,-6,6,32,36,3,0,-17,-40,-10,-6,-4,-9,-16,25,-4,-7,10,30,38,21,5,-13,-35,-32,-3,-8,-10
Al,NA,NA,NA,NA,NA,23,-20,-38,-30,-16,-10,-19,-11,-19,-22,-1,1,1,-14.5,25,-18,-38,-44,-18,-5,-20,-21,-32,-46,-4,3,7,4,2,26,-20,-38,-39,-19,-2,-9,-18,-30,-44,-22,11,10,10
K,NA,NA,NA,NA,NA,NA,12,58,94,96,91,66,81,55,45,25,13,12,-19.5,0,7,50,88,123,120,65,60,31,-9,7,1,-4,-7,-22,0,6,46,92,119,124,95,70,42,9,-9,-13,-21,-24
Ca,NA,NA,NA,NA,NA,NA,NA,17,43,44,38,19,25,2,-7,-13,-22,-28,-59.5,15,1,11,37,63,56,1,-4,-28,-63,-28,-32,-35,-45,-62,19,1,8,39,60,57,28,4,-23,-55,-60,-40,-52,-56
Sc,NA,NA,NA,NA,NA,NA,NA,NA,8,7,1,-8,-11,-30,-39,-24,-29,-38,-69.5,64,25,1,4,18,11,-39,-44,-61,-86,-28,-30,-30,-45,-61,70,28,2,5,16,9,-17,-39,-62,-89,-74,-28,-40,-46
Ti,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-7,-8,-17,-28,-35,-9,-15,-23,-51.5,100,53,15,0,2,-4,-39,-43,-52,-65,-2,-8,-5,-21,-33,104,57,20,0,1,-6,-25,-41,-57,-74,-47,2,-8,-14
V,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-1,-7,-14,-18,5,-2,-8,-31.5,100,54,17,-4,-1,0,-21,-25,-29,-35,17,9,12,-1,-8,103,57,22,-2,-1,-1,-13,-23,-34,-45,-19,22,15,10
Cr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-1,-4,-7,12,5,-1,-18.5,94,47,11,-12,-7,0,-9,-12,-13,-15,27,17,20,10,7,97,50,17,-9,-7,1,-4,-11,-18,-24,0,31,28,24
Mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-5,-8,4,-6,-13,-31.5,69,27,-1,-15,-4,5,-8,-11,-16,-23,13,2,3,-7,-11,71,29,3,-12,-4,6,-1,-9,-18,-28,-11,11,7,3
Fe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-2,13,4,-2,-15.5,83,34,-1,-25,-16,-2,-3,-5,-5,-4,28,17,19,11,10,85,37,5,-21,-15,0,0,-4,-9,-13,8,31,29,26
Co,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,-5,-11,-21.5,57,10,-22,-41,-25,-5,0,-1,-2,-1,19,6,7,0,2,58,11,-17,-35,-24,-1,2,0,-3,-7,7,18,17,14
