dft,model
-3.249111414,-3.205805063
-4.830483615,-4.833893776
-4.573552568,-4.581009865
-4.890902993,-4.896361828
-4.197882586,-4.202183723
-3.078233371,-3.076714277
-6.082836765,-6.080597401
-4.855772829,-4.86652422
-4.298832059,-4.290100574
-4.308584957,-4.308486462
-4.598235465,-4.608604908
-4.613757773,-4.627877712
-4.834877933,-4.836514473
-4.426278907,-4.426856041
-4.49910052,-4.497344494
-4.780237396,-4.778213978
-4.772227977,-4.770614624
-4.512360764,-4.516433716
-5.009261396,-5.018331051
-5.206703018,-5.206710339
-3.529279813,-3.531554461
-4.594711786,-4.594556332
-3.90321948,-3.900425196
-4.247182329,-4.250546932
-4.963983683,-4.966990471
-4.773618664,-4.773797512
-4.750233089,-4.752017498
-4.505828926,-4.520837307
-4.395507144,-4.403753757
-4.670747026,-4.665213108
-5.250616504,-5.249592304
-3.579325493,-3.580123425
-5.008935162,-5.00163126
-5.830399609,-5.840974331
-3.874193356,-3.878569603
-4.90481922,-4.913657665
-4.175211905,-4.182480335
-3.199655272,-3.201895714
-5.0803601,-5.061312199
-3.404334168,-3.406804562
-4.759697826,-4.757359982
-4.660476859,-4.664023876
-5.500789425,-5.492223263
-4.465251585,-4.466784954
-4.808228065,-4.803788185
-4.208325514,-4.212696552
-4.788357456,-4.802331448
-4.7628551,-4.762448788
-4.765450246,-4.763667583
-4.770426484,-4.77147913
-4.731167128,-4.731110096
-4.13801854,-4.138352394
-4.017709081,-4.014328003
-5.144296152,-5.150829792
-3.52993834,-3.531601667
-4.663476786,-4.663965225
-4.67482588,-4.672561169
-4.391570705,-4.388493061
-4.50703442,-4.514246464
-5.1850529,-5.19809866
-5.480005489,-5.506034374
-4.600876248,-4.608460903
-4.531085069,-4.539251804
-4.669853607,-4.671821117
-3.888008446,-3.888324022
-4.601772251,-4.606644154
-4.602695143,-4.611786842
-3.734611982,-3.736945152
-4.213507384,-4.219658375
-3.387259602,-3.391064167
-4.583783109,-4.595984936
-4.464325107,-4.459913731
-4.662066428,-4.66349268
-5.015467093,-5.032091618
-4.686011606,-4.693144321
-3.472981667,-3.478959322
-4.518441847,-4.522509098
-4.81400955,-4.817194462
-4.691266618,-4.696558475
-4.458438334,-4.459579468
-4.665681916,-4.67414999
-4.429559061,-4.437051296
-4.639043081,-4.639429092
-4.669352538,-4.673326015
-4.784368994,-4.782492638
-4.792713812,-4.792822361
-5.825544861,-5.826069832
-4.676615451,-4.674420834
-3.610618618,-3.61257267
-4.749579938,-4.748571873
-3.942864166,-3.951334238
-4.783934466,-4.784302711
-4.763215536,-4.77106905
-4.781842235,-4.781871319
-4.636293526,-4.640114307
-4.473298747,-4.474212646
-4.498426292,-4.495964527
-4.772204741,-4.77225256
-3.935210863,-3.937288046
-4.6394721,-4.639604568
-5.153646545,-5.155151844
-5.052051003,-5.054915905
-5.13282914,-5.127930164
-5.106511512,-5.103705406
-4.768707757,-4.768601418
-4.763441491,-4.762725353
-4.633097715,-4.640625477
-4.549711132,-4.547762394
-3.196819236,-3.196594954
-4.406488144,-4.403515339
-4.585834722,-4.588099003
-4.599841085,-4.605587959
-4.651230958,-4.663313866
-4.524846637,-4.529831409
-4.450379056,-4.445059299
-4.683900081,-4.682200909
-4.674748605,-4.674425602
-4.34392698,-4.343990803
-4.558138565,-4.566598415
-4.687450729,-4.68438673
-5.064202497,-5.062952518
-4.4875275,-4.484301567
-4.533868813,-4.538691521
-4.582865714,-4.590763569
-4.764601432,-4.765771389
-4.613607643,-4.619297981
-4.782442179,-4.788591385
-4.752455864,-4.749612331
-4.599567191,-4.607841015
-3.890979992,-3.890919685
-4.600317984,-4.606515408
-4.682970618,-4.692206383
-4.702217512,-4.70507431
-4.571661789,-4.58961153
-4.610242724,-4.621738434
-4.777801104,-4.780934811
-4.600154338,-4.599857807
-4.745898494,-4.744532585
-4.575898501,-4.587837696
-4.96423092,-4.975694656
-4.750193136,-4.75096941
-4.514060009,-4.507757664
-4.606492728,-4.61486721
-4.761679987,-4.76066637
-4.387464675,-4.396709919
-5.879581339,-5.87766695
-4.553247753,-4.569942474
-4.776595829,-4.776472569
-5.186143373,-5.183578014
-4.612072497,-4.616136551
-4.288667815,-4.291174412
-4.767263121,-4.767461777
-5.143633094,-5.144852161
-4.766441002,-4.761987209
-4.586699016,-4.595771313
-4.747507598,-4.747150898
-5.408924582,-5.417446613
-5.011157373,-5.002148151
-4.798300019,-4.799818039
-4.64689153,-4.660740376
-4.104211359,-4.105590343
-4.68418815,-4.692284107
-5.070720558,-5.094786644
-5.052887537,-5.0578475
-3.8061679,-3.808956146
-4.250693772,-4.255269051
-4.648061079,-4.652014256
-5.978105505,-5.981070995
-4.703466264,-4.690301895
-5.307983952,-5.308727741
-4.301877584,-4.307147026
-3.888379186,-3.891076088
-4.501537027,-4.511541843
-5.063550179,-5.090684891
-4.671200837,-4.674434662
-4.757590316,-4.758321285
-4.561046296,-4.572927952
-4.6665899,-4.670908928
-4.750163579,-4.750968933
-4.506342706,-4.507467747
-4.79120167,-4.795031548
-4.317227908,-4.326868057
-4.352805921,-4.351158619
-4.709102733,-4.706376076
-4.423452386,-4.423787117
-4.963729841,-4.975625992
-4.591716832,-4.599403858
-5.085406093,-5.081618786
-5.477023565,-5.476326466
-4.619261901,-4.618745327
-4.253817515,-4.257283688
-5.159104321,-5.167284966
-3.794206278,-3.796985626
-4.778489388,-4.777964115
-4.467462427,-4.469681263
-4.003829881,-4.002459049
-4.824289822,-4.829840183
-5.148395958,-5.149794102
-5.356586352,-5.354588032
-4.761785638,-4.760911465
-4.572386698,-4.5866189
-5.056077944,-5.084266663
-3.782726261,-3.784457207
-4.796449649,-4.796946049
-4.793689162,-4.792449474
-4.96446723,-4.9723773
-4.977700832,-4.98028326
-4.910172405,-4.914386272
-4.808783239,-4.806802273
-3.4705047,-3.471830845
-4.674051066,-4.669369698
-5.067581756,-5.082527637
-4.688734818,-4.696099281
-4.948818288,-4.950291157
-4.784801949,-4.784362793
-4.592004064,-4.596474648
-4.65217856,-4.656122684
-4.601938761,-4.607802391
-5.478419635,-5.478203773
-4.783583857,-4.781048775
-4.40872505,-4.403131962
-5.03039074,-5.030423641
-4.499805486,-4.50464344
-4.884703679,-4.887988567
-4.724898882,-4.725230694
-4.735542753,-4.728106976
-4.857606136,-4.855162144
-3.851295238,-3.850785732
-5.704837702,-5.715358734
-4.97957311,-4.975655079
-5.379955475,-5.379370213
-4.635077547,-4.63544178
-4.609327387,-4.617310047
-4.771165171,-4.770834446
-4.591188927,-4.595303059
-4.549167973,-4.556506634
-4.898332279,-4.904871464
-5.609755157,-5.606974125
-4.534581857,-4.536499023
-5.758431403,-5.737970829
-4.79229435,-4.794045448
-4.813390152,-4.813244343
-4.884511082,-4.887718201
-4.76122999,-4.760870457
-5.038288821,-5.044372082
-4.690653516,-4.6878438
-4.555763833,-4.569604874
-4.579017366,-4.584597588
-4.764187251,-4.764840603
-4.42919486,-4.424234867
-5.28415856,-5.280510426
-4.586732581,-4.592070103
-5.273230254,-5.271532536
-4.393250089,-4.397974968
-4.464369332,-4.466548443
-4.77099618,-4.770595074
-4.63874407,-4.640117168
-4.771798258,-4.771903515
-4.98484707,-4.976904869
-5.30356681,-5.305696964
-4.606423278,-4.611774921
-4.329085441,-4.336899281
-4.685612954,-4.685004711
-5.444380586,-5.44353199
-4.098611192,-4.101791859
-6.003568684,-6.011860371
-3.970361804,-3.972052574
-4.274467456,-4.278138638
-4.786940623,-4.791247845
-4.277914678,-4.27940321
-5.096062828,-5.105787754
-4.548501891,-4.553107738
-4.48584144,-4.482505322
-5.148025825,-5.149103642
-4.672573859,-4.669715405
-5.294217377,-5.30518961
-4.491684269,-4.490957737
-4.842255049,-4.848440647
-4.782080645,-4.779844761
-5.908068665,-5.901482105
-4.421388836,-4.424118519
-4.758757849,-4.758543968
-4.768786185,-4.769315243
-4.638962507,-4.637549877
-5.091472688,-5.093977451
-4.782198726,-4.784461021
-4.398208545,-4.402811527
-4.37234755,-4.371731281
-4.660889773,-4.669211864
-3.884989037,-3.885482788
-4.679821362,-4.681245327
-4.639602719,-4.640928745
-4.894223574,-4.899062634
-4.551041128,-4.560161591
-4.564514004,-4.574922562
-4.712697425,-4.710837841
-4.758882768,-4.759639263
-4.376962229,-4.374825001
-4.996749778,-4.994859695
-4.375129166,-4.375041008
-5.243479376,-5.250181675
-4.561291658,-4.568891048
-4.687399102,-4.689408779
-5.358790006,-5.347033024
-4.582239973,-4.582039356
-4.773301146,-4.770515919
-4.436048297,-4.438560963
-3.740484746,-3.74129343
-4.35615126,-4.359764576
-4.60278326,-4.611546993
-4.767881817,-4.767734528
-4.836480478,-4.835711956
-3.612970282,-3.615355015
-4.321577916,-4.326657772
